Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1973.2	45.597	97.826	92.744	163.364	199.001	40.813	794.740	159.448	46.004	34.470	52.516	60.055	50.472	5.777	10.505	22.901	8.420	6.205
evm.model.Seg19768.1	25.457	6.832	23.712	42.691	31.673	97.702	11.250	12.907	13.042	9.076	1.312	5.923	7.130	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1985.3	2.810	0.994	6.635	20.582	50.488	44.772	31.296	20.182	20.211	13.269	5.150	5.012	6.749	0.000	0.000	6.410	0.000	0.000
evm.model.Seg1999.1.1.57f48f78	0.155	0.659	0.000	0.134	0.208	0.111	0.358	0.405	0.311	0.167	0.442	0.057	0.182	0.000	0.000	0.000	0.000	0.000
evm.model.Seg2016.7	0.706	3.138	0.563	0.937	0.350	0.342	1.151	0.939	0.984	0.642	0.097	2.658	3.656	0.000	0.122	1.662	0.000	0.000
evm.model.Seg2020.6	0.000	4.003	1.077	0.000	1.554	1.915	0.511	1.376	2.088	1.125	0.387	0.238	1.290	0.000	0.000	0.000	0.000	0.000
evm.model.Seg2038.4	3.485	5.269	5.676	6.187	9.370	4.455	1.074	15.904	18.253	18.514	6.841	6.415	8.073	1.775	0.629	0.000	0.824	0.000
evm.model.Seg2043.2.1.57f48f78	0.435	1.679	0.278	0.703	1.562	1.881	0.614	0.928	0.914	0.428	0.359	1.813	1.481	0.000	0.000	0.000	0.878	0.000
evm.model.Seg2049.3	0.000	0.904	0.000	0.000	0.022	0.000	0.000	0.384	0.000	1.255	3.072	3.716	2.043	0.000	0.000	0.000	0.000	0.000
evm.model.Seg2051.6	14.203	19.268	29.326	10.104	8.299	24.729	120.376	7.051	6.325	4.603	1.940	4.709	4.326	0.000	0.304	1.461	0.193	0.405
evm.model.Seg2059.2.1.57f48f79	3.981	0.000	0.952	1.399	1.889	0.710	0.000	2.112	0.813	0.000	2.582	3.248	1.729	0.000	0.608	1.753	0.000	0.000
evm.model.Seg2075.2.4.57f48f79	0.357	1.059	0.000	0.000	0.186	0.214	0.000	0.000	0.000	0.000	0.000	0.271	1.762	0.000	0.000	0.000	0.347	0.000
evm.model.Seg210.5	8.196	5.734	7.615	3.783	10.583	8.029	2.480	5.323	5.261	5.365	3.804	4.405	4.880	0.000	0.000	0.000	3.983	2.835
evm.model.Seg2118.5	2.779	0.116	3.217	4.171	0.863	0.000	0.000	18.774	19.227	15.036	9.727	1.944	0.505	0.164	0.000	0.219	0.000	0.116
evm.model.Seg2182.3	17.827	9.867	13.388	10.632	13.260	10.116	1.560	4.672	5.381	5.542	2.396	2.486	2.556	0.281	0.000	1.242	0.000	0.391
evm.model.Seg2185.3	9.057	7.038	5.683	8.805	8.999	10.988	5.753	13.088	13.785	10.554	4.763	5.258	6.774	3.145	0.892	1.351	5.038	1.837
evm.model.Seg2191.4.1.57f48f79	1.513	2.828	3.661	1.989	1.681	1.308	0.000	0.747	1.596	0.270	2.361	2.354	3.507	0.000	0.000	5.424	0.000	0.000
evm.model.Seg2191.6	48.174	33.216	26.783	35.861	53.731	24.738	50.293	13.366	9.869	7.420	2.589	4.922	4.508	2.131	0.973	1.424	0.670	0.058
evm.model.Seg2192.8.1.57f48f79	4.789	13.082	4.509	6.367	3.413	5.626	0.000	2.187	3.022	2.883	5.723	5.709	5.327	0.000	0.000	0.000	5.023	0.000
evm.model.Seg2194.5.1.57f48f79	1.684	2.725	1.188	2.082	2.595	2.283	1.381	1.387	2.068	1.943	1.208	2.141	1.803	0.000	0.000	0.000	1.102	1.417
